TIME_DELTA,SPEED,REFERENCE,CONTROL,ERROR
0.01,-8.000000,0.000000,0.000000,0.000000
0.04,-8.000000,0.000000,0.000000,0.000000
0.15,-8.000000,0.000000,0.000000,0.000000
0.16,-8.000000,0.000000,0.000000,0.000000
0.19,-8.000000,0.000000,0.000000,0.000000
0.22,-8.000000,0.000000,0.000000,0.000000
0.25,-8.000000,0.000000,0.000000,0.000000
0.30,-8.000000,0.000000,0.000000,0.000000
0.35,-8.000000,0.000000,0.000000,0.000000
0.40,-8.000000,0.000000,0.000000,0.000000
0.46,-8.000000,0.000000,0.000000,0.000000
0.51,-8.000000,0.000000,0.000000,0.000000
0.56,-8.000000,0.000000,0.000000,0.000000
0.61,-8.000000,0.000000,0.000000,0.000000
0.67,-8.000000,0.000000,0.000000,0.000000
0.72,-8.000000,0.000000,0.000000,0.000000
0.74,-8.000000,0.000000,0.000000,0.000000
0.80,-8.000000,0.000000,0.000000,0.000000
0.88,-8.000000,0.000000,0.000000,0.000000
0.94,-8.000000,0.000000,0.000000,0.000000
0.99,-8.000000,0.000000,0.000000,0.000000
1.04,-8.000000,0.000000,0.000000,0.000000
1.09,-8.000000,0.000000,0.000000,0.000000
1.12,-8.000000,0.000000,0.000000,0.000000
1.17,-8.000000,0.000000,0.000000,0.000000
1.31,-8.000000,0.000000,0.000000,0.000000
1.33,-8.000000,0.000000,0.000000,0.000000
1.35,-8.000000,0.000000,0.000000,0.000000
1.38,-8.000000,0.000000,0.000000,0.000000
1.43,-8.000000,0.000000,0.000000,0.000000
1.49,-8.000000,0.000000,0.000000,0.000000
1.54,-8.000000,0.000000,0.000000,0.000000
1.59,-8.000000,0.000000,0.000000,0.000000
1.64,-8.000000,0.000000,0.000000,0.000000
1.70,-8.000000,0.000000,0.000000,0.000000
1.73,-8.000000,0.000000,0.000000,0.000000
1.78,-8.000000,0.000000,0.000000,0.000000
1.83,-8.000000,0.000000,0.000000,0.000000
1.88,-8.000000,0.000000,0.000000,0.000000
1.93,-8.000000,0.000000,0.000000,0.000000
1.99,-8.000000,0.000000,0.000000,0.000000
2.04,-8.000000,0.000000,0.000000,0.000000
2.09,-8.000000,0.000000,0.000000,0.000000
2.14,-8.000000,0.000000,0.000000,0.000000
2.20,-8.000000,0.000000,0.000000,0.000000
2.37,-8.000000,0.000000,0.000000,0.000000
2.39,-8.000000,0.000000,0.000000,0.000000
2.40,-8.000000,0.000000,0.000000,0.000000
2.44,-8.000000,0.000000,0.000000,0.000000
2.49,-8.000000,0.000000,0.000000,0.000000
2.54,-8.000000,0.000000,0.000000,0.000000
2.59,-8.000000,0.000000,0.000000,0.000000
2.64,-8.000000,0.000000,0.000000,0.000000
2.70,-8.000000,0.000000,0.000000,0.000000
2.75,-8.000000,0.000000,0.000000,0.000000
2.78,-8.000000,0.000000,0.000000,0.000000
2.83,-8.000000,0.000000,0.000000,0.000000
2.88,-8.000000,0.000000,0.000000,0.000000
2.94,-8.000000,0.000000,0.000000,0.000000
3.08,-8.000000,0.000000,0.000000,0.000000
3.11,-8.000000,0.000000,0.000000,0.000000
3.14,-8.000000,0.000000,0.000000,0.000000
3.16,-8.000000,0.000000,0.000000,0.000000
3.19,-8.000000,0.000000,0.000000,0.000000
3.25,-8.000000,0.000000,0.000000,0.000000
3.30,-8.000000,0.000000,0.000000,0.000000
3.35,-8.000000,0.000000,0.000000,0.000000
3.40,-8.000000,0.000000,0.000000,0.000000
3.46,-8.000000,0.000000,0.000000,0.000000
3.51,-8.000000,0.000000,0.000000,0.000000
3.56,-8.000000,0.000000,0.000000,0.000000
3.61,-8.000000,0.000000,0.000000,0.000000
3.66,-8.000000,0.000000,0.000000,0.000000
3.71,-8.000000,0.000000,0.000000,0.000000
3.77,-8.000000,0.000000,0.000000,0.000000
3.82,-8.000000,0.000000,0.000000,0.000000
3.87,-8.000000,0.000000,0.000000,0.000000
3.92,-8.000000,0.000000,0.000000,0.000000
3.95,-8.000000,0.000000,0.000000,0.000000
4.00,-8.000000,0.000000,0.000000,0.000000
4.03,-8.000000,0.000000,0.000000,0.000000
4.08,-8.000000,0.000000,0.000000,0.000000
4.13,-8.000000,0.000000,0.000000,0.000000
4.18,-8.000000,0.000000,0.000000,0.000000
4.20,-8.000000,0.000000,0.000000,0.000000
4.25,-8.000000,0.000000,0.000000,0.000000
4.31,-8.000000,0.000000,0.000000,0.000000
4.36,-8.000000,0.000000,0.000000,0.000000
4.39,-8.000000,0.000000,0.000000,0.000000
4.44,-8.000000,0.000000,0.000000,0.000000
4.49,-8.000000,0.000000,0.000000,0.000000
4.54,-8.000000,0.000000,0.000000,0.000000
4.59,-8.000000,0.000000,0.000000,0.000000
4.64,-8.000000,0.000000,0.000000,0.000000
4.69,-8.000000,0.000000,0.000000,0.000000
4.72,-8.000000,0.000000,0.000000,0.000000
4.77,-8.000000,0.000000,0.000000,0.000000
4.86,-8.000000,0.000000,0.000000,0.000000
4.91,-8.000000,0.000000,0.000000,0.000000
4.96,-8.000000,0.000000,0.000000,0.000000
4.99,-8.000000,0.000000,0.000000,0.000000
5.04,-8.000000,0.000000,0.000000,0.000000
5.09,-8.000000,0.000000,0.000000,0.000000
5.14,-8.000000,0.000000,0.000000,0.000000
5.20,-8.000000,0.000000,0.000000,0.000000
5.25,-8.000000,0.000000,0.000000,0.000000
5.30,-8.000000,0.000000,0.000000,0.000000
5.35,-8.000000,0.000000,0.000000,0.000000
5.41,-8.000000,0.000000,0.000000,0.000000
5.46,-8.000000,0.000000,0.000000,0.000000
5.51,-8.000000,0.000000,0.000000,0.000000
5.56,-8.000000,0.000000,0.000000,0.000000
5.62,-8.000000,0.000000,0.000000,0.000000
5.79,-8.000000,0.000000,0.000000,0.000000
5.81,-8.000000,0.000000,0.000000,0.000000
5.83,-8.000000,0.000000,0.000000,0.000000
5.88,-8.000000,0.000000,0.000000,0.000000
5.93,-8.000000,0.000000,0.000000,0.000000
5.98,-8.000000,0.000000,0.000000,0.000000
6.03,-8.000000,0.000000,0.000000,0.000000
6.05,-8.000000,0.000000,0.000000,0.000000
6.10,-8.000000,0.000000,0.000000,0.000000
6.16,-8.000000,0.000000,0.000000,0.000000
6.21,-8.000000,0.000000,0.000000,0.000000
6.26,-8.000000,0.000000,0.000000,0.000000
6.31,-8.000000,0.000000,0.000000,0.000000
6.37,-8.000000,0.000000,0.000000,0.000000
6.42,-8.000000,0.000000,0.000000,0.000000
6.47,-8.000000,0.000000,0.000000,0.000000
6.53,-8.000000,0.000000,0.000000,0.000000
6.58,-8.000000,0.000000,0.000000,0.000000
6.63,-8.000000,0.000000,0.000000,0.000000
6.66,-8.000000,0.000000,0.000000,0.000000
6.71,-8.000000,0.000000,0.000000,0.000000
6.76,-8.000000,0.000000,0.000000,0.000000
6.81,-8.000000,0.000000,0.000000,0.000000
6.86,-8.000000,0.000000,0.000000,0.000000
6.91,-8.000000,0.000000,0.000000,0.000000
6.97,-8.000000,0.000000,0.000000,0.000000
7.02,-8.000000,0.000000,0.000000,0.000000
7.07,-8.000000,0.000000,0.000000,0.000000
7.12,-8.000000,0.000000,0.000000,0.000000
7.18,-8.000000,0.000000,0.000000,0.000000
7.23,-8.000000,0.000000,0.000000,0.000000
7.28,-8.000000,0.000000,0.000000,0.000000
7.33,-8.000000,0.000000,0.000000,0.000000
7.38,-8.000000,0.000000,0.000000,0.000000
7.43,-8.000000,0.000000,0.000000,0.000000
7.48,-8.000000,0.000000,0.000000,0.000000
7.54,-8.000000,0.000000,0.000000,0.000000
7.59,-8.000000,0.000000,0.000000,0.000000
7.64,-8.000000,0.000000,0.000000,0.000000
7.69,-8.000000,0.000000,0.000000,0.000000
7.74,-8.000000,0.000000,0.000000,0.000000
7.79,-8.000000,0.000000,0.000000,0.000000
